nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
Show me the candidates' consideration and opposition rates on a chart.,abstract,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none",none
How do the highest accelerations compare for different cylinder quantities?,abstract,Scatter,CARS_DATA,car_1,mark point data cars_data encoding x max(accelerate) y aggregate none cylinders,"Accelerate,Cylinders",none,max Accelerate,point,"x=max Accelerate,y=Cylinders,color=none",none
Are there any patterns in employee phone numbers? ,abstract,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x ,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none",none
Can we see a breakdown of employee phone numbers? ,abstract,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x ,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none",none
What do the employee phone numbers look like? ,abstract,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x ,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none",none
Plot employee phone numbers for me.,abstract,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none",none
Can I see a breakdown of employee phone numbers in a graph form? ,abstract,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none",none
"Represent employee phone number counts in a chart, would you?",abstract,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none",none
Can you graph how many films each director has made?,abstract,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x ,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",none
Make me a chart of the number of films per director in descending order.,abstract,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x sort y desc,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",y desc
I want to see a breakdown of how many movies each director has directed.,abstract,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x ,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",none
Can you display the number of films per director in a graph?,abstract,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x ,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",none
"I'd like a graph showing which directors have directed the most films, listed in descending order.",abstract,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x sort y desc,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",y desc
Can you give me a graph of studio production statistics?,abstract,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none",none
How many films have been made by each studio? ,abstract,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none",none
Show me the film studio breakdown in chart form.,abstract,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none",none
How are films distributed among studios?,abstract,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none",none
What does the distribution of films among studios look like?,abstract,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none",none
Can you give me a visual representation of how many movies different directors have made?,abstract,Pie,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,none,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none
Show me the number of films each director has directed in a pie chart.,abstract,Pie,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,none,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none
I want to see a breakdown of how many movies different directors have directed.,abstract,Pie,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,none,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none
Can you show me a chart of the director's film counts?,abstract,Pie,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,none,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none
I'm interested in seeing a pie chart of the number of films directed by each director.,abstract,Pie,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,none,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none
How many matches were played in each competition? Display it in a graph.,abstract,Bar,MATCH,city_record,mark bar data match encoding x competition y aggregate count competition transform group x ,Competition,none,count Competition,bar,"x=Competition,y=count Competition,color=none",none
Can you show me the amount of matches for each competition on a graph?,abstract,Bar,MATCH,city_record,mark bar data match encoding x competition y aggregate count competition transform group x ,Competition,none,count Competition,bar,"x=Competition,y=count Competition,color=none",none
"Make a chart with the competitions on the x-axis and the number of matches on the y-axis, and sort x in descending order.",abstract,Bar,MATCH,city_record,mark bar data match encoding x competition y aggregate count competition transform group x sort x desc,Competition,none,count Competition,bar,"x=Competition,y=count Competition,color=none",x desc
How many matches were there in different competitions? Show me in a pie chart.,abstract,Pie,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,none,count Competition,arc,"x=Competition,y=count Competition,color=none",none
Visualize the number of matches for each competition with a pie chart.,abstract,Pie,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,none,count Competition,arc,"x=Competition,y=count Competition,color=none",none
Draw a pie chart to show the total number of matches across competitions.,abstract,Pie,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,none,count Competition,arc,"x=Competition,y=count Competition,color=none",none
Show me the proportion of matches in each competition graphically.,abstract,Pie,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,none,count Competition,arc,"x=Competition,y=count Competition,color=none",none
Show me a pie chart of climbers by country.,abstract,Pie,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,none,count Country,arc,"x=Country,y=count Country,color=none",none
Create a pie chart of climbers by country.,abstract,Pie,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,none,count Country,arc,"x=Country,y=count Country,color=none",none
Draw a chart of the climbers by their country of origin.,abstract,Pie,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,none,count Country,arc,"x=Country,y=count Country,color=none",none
What is the breakdown of climbers by country?,abstract,Pie,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,none,count Country,arc,"x=Country,y=count Country,color=none",none
What percentage of climbers are from each country?,abstract,Pie,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,none,count Country,arc,"x=Country,y=count Country,color=none",none
How many climbers are from each country? ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Show me the climbers' nationalities. ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Make a graph of climber countries. ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Where are the climbers from? ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
What countries do the climbers come from? ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Chart the climber countries. ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Visualize the climber nationalities. ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Break down the climbers by country. ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Draw a bar chart of climber nationalities. ,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Display the number of climbers from each country.,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,none,count Country,bar,"x=Country,y=count Country,color=none",none
Can you show me a breakdown of climbers by country? Put climber on x in ascending order.,abstract,Bar,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x sort x asc,Country,none,count Country,bar,"x=Country,y=count Country,color=none",x asc
Can you show me a graph of the number of mountains taller than 5000 meters by country? ,abstract,Bar,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,Height gt 5000,count Country,bar,"x=Country,y=count Country,color=none",none
Give me a breakdown of how many high peaks there are in different countries. ,abstract,Bar,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,Height gt 5000,count Country,bar,"x=Country,y=count Country,color=none",none
Which countries have mountains with a height of over 5000? ,abstract,Bar,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,Height gt 5000,count Country,bar,"x=Country,y=count Country,color=none",none
Can you tell me which countries have the most mountains over 5000 meters high? ,abstract,Bar,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,Height gt 5000,count Country,bar,"x=Country,y=count Country,color=none",none
How many tall mountains are there in different countries? ,abstract,Bar,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,Height gt 5000,count Country,bar,"x=Country,y=count Country,color=none",none
Can you make a graph that shows where most of our members are located? ,abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x sort y desc,Address,none,count Address,bar,"x=Address,y=count Address,color=none",y desc
"I want to see how many members are from each city, in a bar chart form. ",abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x ,Address,none,count Address,bar,"x=Address,y=count Address,color=none",none
Can you give me a visual representation of the membership distribution by address? ,abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x ,Address,none,count Address,bar,"x=Address,y=count Address,color=none",none
"Show me a chart of where our members are based, in descending order. ",abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x sort y desc,Address,none,count Address,bar,"x=Address,y=count Address,color=none",y desc
"Can you create a graph displaying the number of members by location, with the most popular areas on the left?",abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x sort y desc,Address,none,count Address,bar,"x=Address,y=count Address,color=none",y desc
