nl,nl type,chart,hardness,table name,database,label,column,aggregate,mark,encoding,sort,filter
How are the apartments grouped by type?,abstract,Pie,Medium,Apartments,apartment_rentals,mark arc data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x ,apt_type_code,count apt_type_code,arc,"x=apt_type_code,y=count apt_type_code,color=none",none,none
How are apartments grouped?,abstract,Pie,Medium,Apartments,apartment_rentals,mark arc data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x ,apt_type_code,count apt_type_code,arc,"x=apt_type_code,y=count apt_type_code,color=none",none,none
Chart the number of bookings by status,abstract,Bar,Medium,Apartment_Bookings,apartment_rentals,mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x ,booking_status_code,count booking_status_code,bar,"x=booking_status_code,y=count booking_status_code,color=none",none,none
"How about a bar chart of the booking status codes, ordered by the number of bookings",abstract,Bar,Medium,Apartment_Bookings,apartment_rentals,mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x sort y desc,booking_status_code,count booking_status_code,bar,"x=booking_status_code,y=count booking_status_code,color=none",y desc,none
How do bookings distribute across different status codes,abstract,Pie,Easy,Apartment_Bookings,apartment_rentals,mark arc data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x,booking_status_code,count booking_status_code,arc,"x=booking_status_code,y=count booking_status_code,color=none",none,none
How can I see the quantity of assets grouped by make in a chart?,abstract,Bar,Medium,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x ,asset_make,count asset_make,bar,"x=asset_make,y=count asset_make,color=none",none,none
Show me a graph of asset statistics with different groupings.,abstract,Bar,Medium,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x ,asset_make,count asset_make,bar,"x=asset_make,y=count asset_make,color=none",none,none
Can you visualize the distribution of assets based on the make?,abstract,Bar,Easy,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x,asset_make,count asset_make,bar,"x=asset_make,y=count asset_make,color=none",none,none
Show me how players entering the hall of fame have changed over time,abstract,Line,Easy,hall_of_fame,baseball_1,mark line data hall_of_fame encoding x yearid y aggregate count yearid transform group x,yearid,count yearid,line,"x=yearid,y=count yearid,color=none",none,none
Could you show me the results of past battles? ,abstract,Bar,Hard,battle,battle_death,mark bar data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x ,result,count result,bar,"x=result,y=count result,color=none",none,bulgarian_commander != 'Boril'
 I'm curious about how the Bulgarian commanders have fared historically,abstract,Bar,Hard,battle,battle_death,mark bar data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x ,result,count result,bar,"x=result,y=count result,color=none",none,bulgarian_commander != 'Boril'
 Display the battle results of commanders who are not named Boril.,abstract,Bar,Hard,battle,battle_death,mark bar data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x ,result,count result,bar,"x=result,y=count result,color=none",none,bulgarian_commander != 'Boril'
results of battles where the bulgarian commander wasn't 'Boril.',abstract,Pie,Medium,battle,battle_death,mark arc data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x,result,count result,arc,"x=result,y=count result,color=none",none,bulgarian_commander != 'Boril'
I'm wondering how many teachers have the same last name.,abstract,Bar,Medium,Teachers,behavior_monitoring,mark bar data teachers encoding x last_name y aggregate count last_name transform group x ,last_name,count last_name,bar,"x=last_name,y=count last_name,color=none",none,none
"summarizes the incident type ""NOISE"" with end dates.",abstract,Bar,Medium,Behavior_Incident,behavior_monitoring,"mark bar data behavior_incident encoding x date_incident_end y aggregate count date_incident_end transform filter incident_type_code = ""noise"" group x",date_incident_end,count date_incident_end,bar,"x=date_incident_end,y=count date_incident_end,color=none",none,"incident_type_code = ""NOISE"""
passenger distribution among stations located outside of London,abstract,Pie,Easy,station,train_station,mark arc data station encoding x name y aggregate none total_passengers transform filter location != 'london',"Name,Total_Passengers",none,arc,"x=Name,y=Total_Passengers,color=none",none,Location != 'London'
which location has the highest passenger traffic?,abstract,Bar,Medium,station,train_station,mark bar data station encoding x location y aggregate sum total_passengers transform group x sort y desc,"Location,Total_Passengers",sum Total_Passengers,bar,"x=Location,y=sum Total_Passengers,color=none",y desc,none
display the changes in the number of stations in the station table over time,abstract,Line,Easy,station,bike_1,mark line data station encoding x installation_date y aggregate count installation_date transform group x,installation_date,count installation_date,line,"x=installation_date,y=count installation_date,color=none",none,none
Show me a chart that demonstrates the pattern of the stations' installation dates in the station table.,abstract,Line,Easy,station,bike_1,mark line data station encoding x installation_date y aggregate count installation_date transform group x,installation_date,count installation_date,line,"x=installation_date,y=count installation_date,color=none",none,none
How do passenger numbers relate to the number of platforms at various locations? ,abstract,Grouping Scatter,Medium,station,train_station,mark point data station encoding x sum(number_of_platforms) y aggregate sum total_passengers transform group location,"Number_of_Platforms,Total_Passengers,Location","sum Number_of_Platforms,sum Total_Passengers",point,"x=sum Number_of_Platforms,y=sum Total_Passengers,color=Location",none,none
"Can you generate a chart that highlights how passenger traffic and platform usage are related, with location as a distinguishing factor?",abstract,Grouping Scatter,Medium,station,train_station,mark point data station encoding x sum(number_of_platforms) y aggregate sum total_passengers transform group location,"Number_of_Platforms,Total_Passengers,Location","sum Number_of_Platforms,sum Total_Passengers",point,"x=sum Number_of_Platforms,y=sum Total_Passengers,color=Location",none,none
I'm interested in seeing the distribution of services offered by stations across different local authorities.,abstract,Stacked Bar,Hard,station,station_weather,mark bar data station encoding x services y aggregate count services color local_authority transform group x,"services,local_authority",count services,bar,"x=services,y=count services,color=local_authority",none,none
What is the breakdown of services by local authorities for the stations in the network?,abstract,Stacked Bar,Hard,station,station_weather,mark bar data station encoding x services y aggregate count services color local_authority transform group x,"services,local_authority",count services,bar,"x=services,y=count services,color=local_authority",none,none
Show me a chart that compares the different services offered by each station.,abstract,Stacked Bar,Hard,station,station_weather,mark bar data station encoding x services y aggregate count services color local_authority transform group x,"services,local_authority",count services,bar,"x=services,y=count services,color=local_authority",none,none
I want to see a graph of the start stations for a significant amount of trips. ,abstract,Bar,Easy,trip,bike_1,mark bar data trip encoding x start_station_name y aggregate none start_station_id transform ,"start_station_name,start_station_id",none,bar,"x=start_station_name,y=start_station_id,color=none",none,none
the start stations for a large quantity of trips.,abstract,Bar,Easy,trip,bike_1,mark bar data trip encoding x start_station_name y aggregate none start_station_id transform ,"start_station_name,start_station_id",none,bar,"x=start_station_name,y=start_station_id,color=none",none,none
Can you show me a graph of average weights for each gender?,abstract,Bar,Medium,people,candidate_poll,mark bar data people encoding x sex y aggregate mean weight transform group x ,"Sex,Weight",mean Weight,bar,"x=Sex,y=mean Weight,color=none",none,none
weight averages by gender.,abstract,Bar,Medium,people,candidate_poll,mark bar data people encoding x sex y aggregate mean weight transform group x ,"Sex,Weight",mean Weight,bar,"x=Sex,y=mean Weight,color=none",none,none
"Give me a bar graph of how many individuals in the table are over 85, separated by gender.",abstract,Bar,Hard,people,candidate_poll,mark bar data people encoding x sex y aggregate count sex transform filter weight > 85 group x ,Sex,count Sex,bar,"x=Sex,y=count Sex,color=none",none,Weight gt 85
Can you make a chart of the distribution of heavier people among men and women? ,abstract,Bar,Hard,people,candidate_poll,mark bar data people encoding x sex y aggregate count sex transform filter weight > 85 group x ,Sex,count Sex,bar,"x=Sex,y=count Sex,color=none",none,Weight gt 85
How much do men and women weigh on average?,abstract,Pie,Easy,people,candidate_poll,mark arc data people encoding x sex y aggregate mean weight transform group x,"Sex,Weight",mean Weight,arc,"x=Sex,y=mean Weight,color=none",none,none
I want to see a chart of men and women's weight.,abstract,Pie,Easy,people,candidate_poll,mark arc data people encoding x sex y aggregate mean weight transform group x,"Sex,Weight",mean Weight,arc,"x=Sex,y=mean Weight,color=none",none,none
How snatch scores compare to clean and jerk scores,abstract,Scatter,Easy,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,point,"x=Snatch,y=Clean_Jerk,color=none",none,none
Can I see a visual representation of the relationship between snatch and clean and jerk,abstract,Scatter,Easy,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,point,"x=Snatch,y=Clean_Jerk,color=none",none,none
I want to see a comparison of snatch and clean and jerk scores in a graph.,abstract,Scatter,Easy,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,point,"x=Snatch,y=Clean_Jerk,color=none",none,none
snatch and clean_jerk scores,abstract,Scatter,Easy,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,point,"x=Snatch,y=Clean_Jerk,color=none",none,none
Display the data on snatch and clean and jerk in a graphical format.,abstract,Scatter,Easy,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,point,"x=Snatch,y=Clean_Jerk,color=none",none,none
how many books different publishers have published?,abstract,Bar,Easy,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none,none
Number of publications by publisher.,abstract,Bar,Easy,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none,none
Can you display the publisher and number of publications relationship in a graph?,abstract,Bar,Easy,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none,none
Can you show me the difference in number of publications among publishers?,abstract,Bar,Easy,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none,none
How many books have different publishers put out? Show me in a chart.,abstract,Bar,Easy,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none,none
"the number of publications by publisher, publisher name in ascending order.",abstract,Bar,Medium,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x sort x asc,Publisher,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",x asc,none
"Show me a graph of publisher and publication count, sorted by publisher name.",abstract,Bar,Medium,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x sort x asc,Publisher,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",x asc,none
Can you show me a chart of book publishers and their publication numbers?,abstract,Bar,Medium,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,count Writer,bar,"x=Writer,y=count Writer,color=none",none,none
What's the distribution of publications among different publishers?,abstract,Bar,Medium,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,count Writer,bar,"x=Writer,y=count Writer,color=none",none,none
Can you give me a visual representation of publisher information for books?,abstract,Bar,Medium,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,count Writer,bar,"x=Writer,y=count Writer,color=none",none,none
How are the writers of the books sorted?,abstract,Bar,Medium,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x sort x asc,Writer,count Writer,bar,"x=Writer,y=count Writer,color=none",x asc,none
Can you give me an overview of book writer data?,abstract,Bar,Medium,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,count Writer,bar,"x=Writer,y=count Writer,color=none",none,none
Can you show me the book writers in a chart?,abstract,Bar,Medium,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,count Writer,bar,"x=Writer,y=count Writer,color=none",none,none
Can you give me an idea of how many different book writers there are?,abstract,Bar,Medium,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,count Writer,bar,"x=Writer,y=count Writer,color=none",none,none
How many web accelerators are there for each operating system?,abstract,Bar,Easy,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
Show me a graph of web accelerator usage by operating system,abstract,Bar,Easy,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
Can you give me a breakdown of web accelerator usage by OS?,abstract,Bar,Easy,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
"I'm interested in seeing the distribution of web accelerators by operating system, can you show me that?",abstract,Bar,Easy,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
Can you provide a visual representation of web accelerator usage by operating system?,abstract,Bar,Easy,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
Show me a graph of the different operating systems used for the web accelerators.,abstract,Bar,Medium,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x ,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
How many web accelerators are there for each operating system?,abstract,Bar,Medium,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x ,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
Display a graph of the operating systems and how many web accelerators use that system.,abstract,Bar,Medium,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x ,Operating_system,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none,none
Show me how the candidates' consideration and opposition rates compare.,abstract,Scatter,Easy,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,point,"x=Consider_rate,y=Oppose_rate,color=none",none,none
Is there a correlation between a candidate's consideration and opposition rates?,abstract,Scatter,Easy,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,point,"x=Consider_rate,y=Oppose_rate,color=none",none,none
Visualize the relationship between candidates' consideration and opposition rates.,abstract,Scatter,Easy,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,point,"x=Consider_rate,y=Oppose_rate,color=none",none,none
Can you give me a graph of the consider and oppose rates for each candidate?,abstract,Scatter,Easy,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,point,"x=Consider_rate,y=Oppose_rate,color=none",none,none
Show me the candidates' consideration and opposition rates on a chart.,abstract,Scatter,Easy,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,point,"x=Consider_rate,y=Oppose_rate,color=none",none,none
How do the highest accelerations compare for different cylinder quantities?,abstract,Scatter,Easy,CARS_DATA,car_1,mark point data cars_data encoding x max(accelerate) y aggregate none cylinders,"Accelerate,Cylinders",max Accelerate,point,"x=max Accelerate,y=Cylinders,color=none",none,none
Are there any patterns in employee phone numbers? ,abstract,Bar,Medium,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x ,Phone,count Phone,bar,"x=Phone,y=count Phone,color=none",none,none
Can we see a breakdown of employee phone numbers? ,abstract,Bar,Medium,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x ,Phone,count Phone,bar,"x=Phone,y=count Phone,color=none",none,none
What do the employee phone numbers look like? ,abstract,Bar,Medium,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x ,Phone,count Phone,bar,"x=Phone,y=count Phone,color=none",none,none
Plot employee phone numbers for me ,abstract,Bar,Easy,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,count Phone,bar,"x=Phone,y=count Phone,color=none",none,none
Can I see a breakdown of employee phone numbers in a graphform? ,abstract,Bar,Easy,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,count Phone,bar,"x=Phone,y=count Phone,color=none",none,none
"Represent employee phone number counts in a chart, would you?",abstract,Bar,Easy,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,count Phone,bar,"x=Phone,y=count Phone,color=none",none,none
Can you graph how many films each director has made?,abstract,Bar,Medium,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x ,Directed_by,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",none,none
Make me a chart of the number of films per director in descending order.,abstract,Bar,Medium,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x sort y desc,Directed_by,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",y desc,none
I want to see a breakdown of how many movies each director has directed.,abstract,Bar,Medium,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x ,Directed_by,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",none,none
Can you display the number of films per director in a graph?,abstract,Bar,Medium,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x ,Directed_by,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",none,none
"I'd like a graph showing which directors have directed the most films, listed in descending order.",abstract,Bar,Medium,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x sort y desc,Directed_by,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none",y desc,none
Can you give me a graph of studio production statistics? ,abstract,Bar,Easy,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,count Studio,bar,"x=Studio,y=count Studio,color=none",none,none
How many films have been made by each studio? ,abstract,Bar,Easy,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,count Studio,bar,"x=Studio,y=count Studio,color=none",none,none
Show me the film studio breakdown in chart form,abstract,Bar,Easy,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,count Studio,bar,"x=Studio,y=count Studio,color=none",none,none
How are films distributed among studios?,abstract,Bar,Easy,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,count Studio,bar,"x=Studio,y=count Studio,color=none",none,none
What does the distribution of films among studios look like?,abstract,Bar,Easy,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,count Studio,bar,"x=Studio,y=count Studio,color=none",none,none
Can you give me a visual representation of how many movies different directors have made?,abstract,Pie,Easy,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none,none
Show me the number of films each director has directed in a pie chart,abstract,Pie,Easy,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none,none
I want to see a breakdown of how many movies different directors have directed,abstract,Pie,Easy,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none,none
Can you show me a chart of director's film counts?,abstract,Pie,Easy,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none,none
I'm interested in seeing a pie chart of the number of films directed by each director.,abstract,Pie,Easy,film,cinema,mark arc data film encoding x directed_by y aggregate count directed_by transform group x,Directed_by,count Directed_by,arc,"x=Directed_by,y=count Directed_by,color=none",none,none
How many matches were played in each competition? Display it in a graph.,abstract,Bar,Medium,MATCH,city_record,mark bar data match encoding x competition y aggregate count competition transform group x ,Competition,count Competition,bar,"x=Competition,y=count Competition,color=none",none,none
Can you show me the amount of matches for each competition on a graph?,abstract,Bar,Medium,MATCH,city_record,mark bar data match encoding x competition y aggregate count competition transform group x ,Competition,count Competition,bar,"x=Competition,y=count Competition,color=none",none,none
"Make a chart with the competitions on the x-axis and the number of matches on the y-axis, sort x in descending order.",abstract,Bar,Medium,MATCH,city_record,mark bar data match encoding x competition y aggregate count competition transform group x sort x desc,Competition,count Competition,bar,"x=Competition,y=count Competition,color=none",x desc,none
How many matches were there in different competitions? Show me in a pie chart.,abstract,Pie,Easy,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,count Competition,arc,"x=Competition,y=count Competition,color=none",none,none
Visualize the number of matches for each competition with a pie chart.,abstract,Pie,Easy,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,count Competition,arc,"x=Competition,y=count Competition,color=none",none,none
Draw a pie chart to show the total number of matches across competitions.,abstract,Pie,Easy,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,count Competition,arc,"x=Competition,y=count Competition,color=none",none,none
Show me the proportion of matches in each competition graphically.,abstract,Pie,Easy,MATCH,city_record,mark arc data match encoding x competition y aggregate count competition transform group x,Competition,count Competition,arc,"x=Competition,y=count Competition,color=none",none,none
Show me a pie chart of climbers by country ,abstract,Pie,Easy,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,none
Create a pie chart of climbers by country,abstract,Pie,Easy,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,none
Draw a chart of the climbers by their country of origin,abstract,Pie,Easy,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,none
What is the breakdown of climbers by country?,abstract,Pie,Easy,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,none
What percentage of climbers are from each country?,abstract,Pie,Easy,climber,climbing,mark arc data climber encoding x country y aggregate count country transform group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,none
How many climbers are from each country? ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Show me the climbers' nationalities. ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Make a graph of climber countries. ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Who are the climbers from? ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
What countries do the climbers come from? ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Chart the climber countries. ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Visualize the climber nationalities. ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Breakdown the climbers by country. ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Draw a bar chart of climber nationalities. ,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
Display the number of climbers from each country.,abstract,Bar,Easy,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,none
"Can you show me a breakdown of climbers by country, put climber on x in ascending order?",abstract,Bar,Medium,climber,climbing,mark bar data climber encoding x country y aggregate count country transform group x sort x asc,Country,count Country,bar,"x=Country,y=count Country,color=none",x asc,none
Can you show me a graph of the number of mountains taller than 5000 meters by country? ,abstract,Bar,Medium,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Height gt 5000
Give me a breakdown of how many high peaks there are in different countries. ,abstract,Bar,Medium,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Height gt 5000
Which countries have the mountains with a height over 5000? ,abstract,Bar,Medium,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Height gt 5000
Can you tell me which countries have the most mountains over 5000 meters high? ,abstract,Bar,Medium,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Height gt 5000
How many tall mountains are there in different countries? ,abstract,Bar,Medium,mountain,climbing,mark bar data mountain encoding x country y aggregate count country transform filter height > 5000 group x,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Height gt 5000
